Designator,Mid X,Mid Y,Rotation,Layer
CH10,119.265,-53.11425,0.0,top
CH11,137.265,-57.36425,0.0,top
CH12,155.265,-57.36425,0.0,top
CH13,62.187201,-87.582669,8.0,top
CH14,80.012001,-85.077469,8.0,top
CH15,99.374913,-75.775412,4.0,top
CH16,119.265,-70.11425,0.0,top
CH17,137.265,-74.36425,0.0,bottom
CH18,155.265,-74.36425,0.0,top
CH19,64.553101,-104.417169,8.0,top
CH20,82.378001,-101.912069,8.0,top
CH21,100.638313,-92.775412,4.0,top
CH22,119.265,-87.11425,0.0,top
CH23,137.265,-91.36425,0.0,top
CH24,155.265,-91.36425,0.0,top
CH25,114.794866,-110.917575,5.0,top
CH28,135.0656,-110.14975,0.0,top
CH29,156.249781,-111.777734,350.0,top
CH30,177.344518,-118.322338,335.0,top
CH7,59.821201,-70.748069,8.0,top
CH8,77.646101,-68.242969,8.0,top
CH9,98.611013,-58.775412,4.0,top
D1,175.315,-96.932,0.0,top
D10,119.265,-61.482,180.0,top
D11,137.265,-65.982,180.0,top
D12,155.765,-65.982,180.0,top
D13,63.765,-96.482,188.0,top
D14,81.1514,-93.7872,188.0,top
D15,100.265,-84.482,186.0,top
D16,119.265,-78.482,180.0,top
D17,137.265,-82.982,180.0,top
D18,155.265,-82.982,180.0,top
D19,65.765,-113.482,188.0,top
D2,169.265,-86.482,0.0,top
D20,83.765,-110.482,188.0,top
D21,101.1583,-101.3448,186.0,top
D22,119.765,-95.982,180.0,top
D23,137.765,-99.982,180.0,top
D24,155.765,-99.982,180.0,top
D25,115.8703,-119.604,185.0,top
D28,134.765,-118.982,180.0,top
D29,154.8863,-120.6436,170.0,top
D3,185.715,-96.832,0.0,top
D30,173.765,-126.482,155.0,top
D4,175.265,-103.982,0.0,top
D5,185.715,-103.832,0.0,top
D7,61.3786,-79.6768,188.0,top
D8,78.8786,-77.1768,188.0,top
D9,99.265,-67.482,186.0,top
J1,182.515,-88.482,270.0,top
R1,174.765,-88.707,270.0,top
